NAME_O,ORIGX,ORIGY,NAME_D,DSTNX,DSTNY
"73 Pangasinan st. BH, QC",14.68647,121.0929,Capitol,14.68472,121.09774
"24 Pangsinan st. BH, QC",14.68647,121.0929,Ever Gotesco Mall,14.68472,121.09774
"76 Pangasinan. BH, QC",14.68647,121.0929,Water Station Pangasinan st.,14.68647,121.0929
"1 Maya, Batasan, QC",14.68435,121.09098,Maya st.,14.68057,121.09355
"03 Maya st. BH, QC",14.68472,121.09774,Sugar town fil. 2,14.68464,121.10523
"6 Falcon Alley Batasan, QC",14.68472,121.09774,Presidential Talipapa,14.6909,121.09539
6 Maya Batasan QC,14.68472,121.09774,Taguig CIty,14.52941,121.07102
"11 King Fisher St., BH, QC",14.73414,121.05017,Valenzuela,14.69857,120.9776
"11 King Fisher St., BH, QC",14.73414,121.05017,"Talipapa, Presidential Rd.",14.6909,121.09539
"11 King Fisher St. BH, QC",14.73414,121.05017,Novaliches,14.71951,121.03996
"1 Falcon Alley, Congressional Rd., BH, QC",14.68776,121.09701,"Murphy, Cubao",14.62007,121.05947
"06 Falcon Alley St. BH, QC",14.68057,121.09355,"Las Piñas, Zapote St.",14.46524,120.96753
"9 Pigeon St., BH, QC",14.68854,121.10906,"Talipapa, Presidential Rd.",14.6909,121.09539
"12 Maya St. BH, QC",14.68324,121.10074,Tandang Sora,14.68025,121.04065
"1 Maya St., BH, QC",14.68685,121.10738,"Estrada St., Tandang Sora",14.67805,121.03845
"24 Pigeon Alley St. Batasan, QC",14.6895,121.10663,Commonwealth Market,14.682,121.08509
"21B Pigeon Alley St., BH, QC",14.68232,121.10949,UP Diliman,14.65463,121.0584
"14 Hawk Ali St. Batasan, QC",14.68526,121.10722,"Consti Market, San Mateo Rd.",14.69064,121.09661
"24B Pigeon Alley St., BH, QC",14.6895,121.10663,"Puregold Jr, Batasan-San Mateo Rd.",14.69069,121.09667
"20 Eagle Alley St., Ibaba, BH, QC",14.68812,121.10848,Batoda Terminal,14.68472,121.09774
"11 Woodpecker St. Batasan, QC",14.73607,121.05191,Woodpecker St.,14.68717,121.09856
"01 Hawk Alley St. BH, QC",14.68057,121.09355,Consti Palengke,14.69064,121.09661
"13 Pigeon Alley St., BH, QC",14.68337,121.10077,Commonwealth Ave,14.682,121.08509
"01 Hawk Alley St. BH, QC",14.68057,121.09355,Consti Palengke,14.69064,121.09661
"06 Falcon Alley St. BH, QC",14.68057,121.09355,"Consti, Palengke",14.69064,121.09661
"50 Falcon Alley St., BH, QC",14.68365,121.11063,"Soler, Pasay City",14.54361,120.99445
"14 Hawk Alley St. BH, QC",14.68526,121.10722,Angels Burger Pantranco,14.68333,121.09261
"05 Wood Pecker St., BH, QC",14.68057,121.09355,Constitution Market,14.69064,121.09661
"17 Falcon Alley St. BH, QC",14.68058,121.10522,Taft Ave.,14.68829,121.11038
"07 Hawk Alley St., BH, QC",14.68057,121.09355,"Bangbang - Pinagbuhatan, Pasig",14.56565,121.05897
"17 Congressional Rd. Region Alley, BH, QC",14.68776,121.09701,"Consti, Palengke",14.69064,121.09661
"17 Sitio 1 Brgy. BH, QC",14.68769,121.09644,"BGC, Taguig",14.52941,121.07102
"6 Congressional Rd. Sitio 1, BH, QC",14.6876,121.09696,Consti Market,14.69064,121.09661
"15 Constitutional Rd. BH, QC",14.6909,121.09539,"Palengke, Batasan - San Mateo Rd",14.69069,121.09667
"17 Sitio 1 Pigeon Alley, BH, QC",14.68386,121.0917,San Antonio De Padua Church,14.68768,121.02284
"4 Maya St. BH, QC",14.68057,121.09355,"Eastwood Residence, Montalban Blk. 66 Lot 22",14.5778,121.04545
"19 Kingfisher St. BH, QC",14.68721,121.09926,Presidential Palengke,14.6909,121.09539
"14 Eagle St. BH, QC",14.73832,121.05227,Bulacan,14.87487,120.82397
"Area A3 BH, QC",14.68472,121.09774,Ortigas,14.58924,121.07101
"43 Pigeon Ave, BH, QC",14.68829,121.11038,"Palengke, Presidential",14.6909,121.09539
"9 Kingfisher St. BH, QC",14.68854,121.10906,"Intramuros, Maynila",14.59245,120.97332
"2 Pigeon St. BH, QC",14.68262,121.10841,Consti Talipapa,14.69064,121.09661
"14 Kingfisher St. BH, QC",14.68526,121.10722,Batasan National High School,14.68472,121.09774
"29 Pigeon Alley, BH, QC",14.68472,121.09774,Filinvest 2,14.68464,121.10523
"41 Falcon Alley St., BH, QC",14.69162,121.10755,Batasan Oplan Office,14.68472,121.09774
"24 Pigeon Alley BH, QC",14.68472,121.09774,Consti Market,14.69064,121.09661
"9 Pigeon Alley St., BH, QC",14.68854,121.10906,Constitution Market,14.69064,121.09661
"12 Kingfisher St. BH, QC",14.68324,121.10074,Consti Market,14.69064,121.09661
"2 Hawk Alley St., BH, QC",14.68262,121.10841,Constitution Market,14.69064,121.09661
"16 King fisher St. BH, QC",14.68519,121.10728,Batoda Terminal,14.68472,121.09774
"7 Hawk Alley St., BH, QC",14.67935,121.10507,Constitution Market,14.69064,121.09661
"15 King Fisher St. Batasan, QC",14.68161,121.10447,Commonwealth Market,14.682,121.08509
"38 Pigeon Alley St., BH, QC",14.68378,121.11016,Constitution Market,14.69064,121.09661
"4 Congressional Rd., BH, QC",14.68776,121.09701,Constitution Market,14.69064,121.09661
